place_id,name,s_latitude,n_latitude,w_longitude,e_longitude
0,Pizzeria Da Constantino,44.3758238,44.376019,26.1489459,26.1492581
1,Cannoleria,44.4582835,44.4583835,26.1000301,26.1001301
2,Fish House,44.4595892,44.4596892,26.0998328,26.0999328
3,Submarine Burger - Floreasca,44.4595325,44.4596325,26.1002291,26.1003291
4,Osteria Galletto,44.4595325,44.4596325,26.1002291,26.1003291
5,CAVA bistronomie,44.4594671,44.4595671,26.1006729,26.1007729
6,FAVELA,44.4599554,44.4600554,26.0994877,26.0995877
7,Pgb La Maria,44.3672153,44.3673153,26.1330477,26.1331477
8,Casa Mino,44.4348507,44.4350498,26.0252369,26.0256058
9,La Danita,44.3930636,44.3931636,26.0766321,26.0767321
10,Gemenii Pizza,44.4129654,44.4131533,26.1861733,26.1863321
11,Quindle dingle pizza place,44.4129654,44.4131533,26.1861733,26.1863321
12,Romanian Wine Cellar Quality,44.4036657,44.404005,26.0725339,26.0730433
13,Pecineaga,44.4035728,44.4036728,26.0731779,26.0732779
14,Coco Urban Kitchen,44.4692039,44.4694545,26.0566383,26.056924
15,Garden Pub,44.4701647,44.4704217,26.056006,26.0563103
16,Zucchero,44.4701647,44.4704217,26.056006,26.0563103
17,Miau Cafe,44.4214702,44.4215702,26.1092565,26.1093565
18,Casa di David,44.4754232,44.4755232,26.0893063,26.0894063
19,KAYO Club,44.4768821,44.4769821,26.0879216,26.0880216
20,It Cucina,44.4766265,44.4772968,26.0880275,26.088564
21,La Brasserie,44.4759094,44.4760094,26.0889484,26.0890484
22,Anonymous Summer Club,44.47641,44.47651,26.0895318,26.0896318
23,Coffee On The Lake,44.4526243,44.4528251,26.0403241,26.0406768
24,Nr. Toast,44.4526243,44.4528251,26.0403241,26.0406768
25,Mr. Toast,44.4526243,44.4528251,26.0403241,26.0406768
26,Snatch Pub,44.425696,44.425796,26.0700391,26.0701391
27,La Hakim Lebanese Grill,44.4260427,44.4261427,26.0697308,26.0698308
28,Savuro,44.42582,44.4259646,26.0697684,26.06995
29,Le Motif,44.42582,44.4259646,26.0697684,26.06995
30,Profi Standard,44.4446404,44.4447989,26.1355747,26.1362252
31,Gyros Athena,44.4452242,44.4453242,26.1356346,26.1357346
32,Shaormeria Obor,44.4455323,44.4456323,26.1351374,26.1352374
33,Ritmului nr 41,44.4450145,44.4451145,26.1351395,26.1352395
34,Hua Food (mancare asiatica),44.4450228,44.4452356,26.134972,26.1351634
35,5 To Go,44.3948197,44.3955124,26.1159722,26.1175295
36,Casa Albă,44.5188583,44.5191358,26.0902603,26.0909201
37,La Kostas Taverna,44.4370221,44.4371221,26.116643,26.116743
38,Kostas Restaurant - Mansion,44.4370221,44.4371221,26.116643,26.116743
39,Joy Joy food,44.4922735,44.4931672,26.0957013,26.0974697
40,Coffee 2 Go Casa Presei,44.4799949,44.4828402,26.0693589,26.0731514
41,Taverna La Dan,44.4579902,44.4580902,26.1194628,26.1195628
42,Catering City Soup,44.4110162,44.4111162,26.1244725,26.1245725
43,Socului Kebap,44.4329868,44.4398949,26.1456161,26.156062
44,Sabatini Pizza & Restaurant Basarabia,44.4333577,44.4336138,26.155584,26.1558982
45,Damascus Palace Restaurant,44.4331579,44.4332579,26.1532746,26.1533746
46,Pajo Garden,44.4329868,44.4398949,26.1456161,26.156062
47,OKTOBERFEST PUB 2,44.4328673,44.4329681,26.1257328,26.1260918
48,Sfrigola,44.4325607,44.4326607,26.1258147,26.1259147
49,Volt Coffee Calea Calarasi,44.4325707,44.4326707,26.1259056,26.1260056
